customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
1,Bartholomäus,Karz,schaeferlutz@example.net,(00365) 32674,Heinz-Joachim-Nerger-Platz 104,Böblingen,Gambia,88703,71,Other,2020-03-17,"8260,7677,3242"
2,Süleyman,Krebs,ulosekann@example.com,06433358703,Schäfergasse 1/7,Dieburg,Turks- und Caicosinseln,34102,68,Other,2012-12-13,7800
3,Ewa,Mälzer,olgakaul@example.com,+49 (0) 1327 764271,Hoffmannstraße 43-44,Saarlouis,Suriname,65415,52,Female,2022-06-07,
4,Ruth,Taylor,hutchinsonmelissa@example.com,+44(0)151 4960908,Studio 14z\nDunn Stravenue,East Colin,Romania,SN2 9XP,29,Female,2026-04-12,4589
5,Michelangelo,Foconi,marina68@example.org,+39 3780583979,"Piazza Gemma, 87 Appartamento 4",Ripalta Arpina,Gibuti,76014,64,Male,2022-01-09,2619
6,Roman,Butte,horst-peter42@example.com,(03379) 200330,Schmiedeckeallee 105,Greiz,Island,52165,36,Female,2018-10-21,3773
7,Pia,Blümel,amaliereichmann@example.net,03876 82697,Frankering 52,Parchim,Namibia,89313,72,Other,2024-05-15,"4244,4175"
8,Birgid,Wagner,bhaase@example.com,+49 (0) 0248 521685,Emilia-Dörschner-Straße 9643,Lippstadt,Afghanistan,80700,32,Female,2016-12-23,"7136,5528"
9,Cyprian,Gula,majoreksandra@example.net,798 093 838,pl. Korfantego 20/69,Grodzisk Mazowiecki,Paraguay,92-160,40,Male,2010-06-21,7678
10,Karen,Skinner,zallen@example.com,+44(0)121 4960297,Flat 47n\nJay Bypass,East Joyceshire,Romania,N07 1SS,65,Female,2021-02-07,4595
11,Marlene,Baldauf,parzermarko@example.net,0463 72651 398,Stifterstr. 4,Trofaiach,Jersey,3977,68,Male,2010-02-28,5181
12,Zoé,Renard,uraynaud@example.org,+33 3 45 65 59 52,chemin Picard,Sainte Hugues-sur-Mer,Antarctique,86512,34,Male,2015-01-01,"3643,9201,5341"
13,Lucas,Neureiter,lipppaulina@example.org,05279 72246 535,Oscar-Wittmann-Straße 22,Groß-Enzersdorf,Estland,9578,49,Other,2019-12-13,
14,Adelasia,Antonacci,briccialdijacopo@example.com,+39 0789280174,"Via Sagnelli, 984 Appartamento 3",San Luca,Nuova Zelanda,02037,47,Other,2017-09-14,"8482,4831,3262"
15,Apollonia,Bachmann,ladislaus34@example.net,+49(0)3074 12978,Hauffergasse 46,Schmölln,Palau,63619,55,Male,2016-07-09,"4355,5730,1092"
16,Cassandra,Maffei,apetrucelli@example.net,3232487781,"Piazza Ossola, 3",Pogno,Guyana Francese,34146,40,Other,2016-04-10,
17,Jutta,Ott,pjost@example.com,+41 81 972 68 15,Lutzstrasse 12,Wädenswil,Neukaledonien,2278,62,Male,2023-04-16,
18,Elvira,Mattarella,annalisababati@example.com,036479849,"Rotonda Ferretti, 627",Andria,Emirati Arabi Uniti,62018,76,Other,2010-05-14,3682
19,Damiano,Mattarella,vvalguarnera@example.org,+39 05130629679,"Strada Mozart, 17",Cassegliano,Barbados,81057,19,Other,2015-01-16,"1808,9701"
20,Ninetta,Papetti,giustinobenigni@example.com,052346939,"Borgo Dallapé, 49",Pieve Fissiraga,Guam,80012,18,Other,2020-12-07,8271
21,Margot,Pieper,loechelmartine@example.com,(00990) 306473,Nohlmansstraße 5295,Bayreuth,Portugal,10883,37,Male,2014-07-25,8449
22,Marie,Picard,frenard@example.org,0497979588,rue Noël,Sainte Jeanne-la-Forêt,Maldives (Îles),85227,42,Other,2012-01-26,4056
23,Sara,Mostek,vpeksa@example.com,+48 579 713 930,ul. Paderewskiego 505,Augustów,Haiti,97-911,20,Female,2014-01-26,7987
24,Angelino,Aller,iarenas@example.net,+34 884 929 967,Cañada de Dulce Chaves 91,Salamanca,Guyana,39551,38,Male,2010-06-16,3214
25,Paul,Pearce,kayleigh62@example.org,+44(0)20 7496 0815,Flat 45\nJames Prairie,Terencebury,Uruguay,L1U 9SB,26,Male,2022-12-14,"6696,5477,8299"
26,Cosima,Johann,klaus-peter71@example.com,04027 682621,Säuberlichallee 26-67,Malchin,Swasiland,96649,34,Other,2024-06-04,"2267,3029"
27,Mia,Scholl,usiering@example.org,+49 (0) 8012 350546,Süßebierallee 4,Chemnitz,Kap Verde,30669,48,Other,2011-05-25,
28,Nicola,Maccanelli,pianevaleria@example.com,3770224994,"Stretto Geraci, 77",Villanova D'Asti,Irlanda,41054,66,Female,2015-10-08,
29,Piersanti,Ricciardi,nadisimonetta@example.com,+39 0861145568,"Via Fabbri, 634 Piano 7",Urago D'Oglio,Uruguay,10036,41,Male,2019-04-10,"5000,5181"
30,Ingeborg,Säuberlich,zbuchholz@example.net,05108 72159,Agata-Budig-Gasse 46,Kyritz,Iran,49265,53,Male,2020-09-11,"4939,7391,6161"
31,Gislinde,Mangold,weimeradelinde@example.org,+49(0)1418229209,Niko-Biggen-Ring 98-20,Torgau,Südgeorgien und die Südlichen Sandwichinseln,85918,24,Female,2023-09-08,"9781,1362,7872"
32,Apolonia,Peñas,canodonato@example.net,+34902 40 85 61,Callejón Malena Arnal 56,Ávila,Alemania,41622,35,Female,2011-01-21,3436
33,Édgar,Seco,lzamorano@example.net,+34 886 084 541,Plaza de Daniela Moll 1 Puerta 7 ,Lugo,Chipre,11855,30,Other,2017-07-20,
34,Eric,Angerer,nicolasschilcher@example.com,+43 5300 48353 330,Laura-Kössler-Ring 874,Waidhofen an der Thaya,Nauru,3936,55,Other,2024-12-04,1963
35,Pasquale,Jacobi Jäckel,hanni04@example.net,+49(0) 600751655,Binnerweg 91-91,Warendorf,Andorra,12909,70,Female,2016-02-09,"3755,2946"
36,Sabina,Murillo,eva46@example.com,+34978 343 946,Calle Evelia Quesada 9,Asturias,Timor-Leste,35977,68,Other,2014-11-11,"6441,1717,8656"
37,Jacques,Schnyder,hausermael@example.com,081 233 82 35,Betschartstrasse 85,Neuenburg,Kanada,7956,20,Female,2018-07-04,"7477,9944"
38,Kyle,Waters,singhdale@example.com,0161 4960015,52 Owen Prairie,New Garytown,Malaysia,L0 8PP,59,Other,2010-02-01,5684
39,Nora,Suppan,hfelder@example.com,+43 (0) 2745 29225714,Brunnerweg 84,Landeck,Bangladesch,1783,68,Female,2011-10-31,
40,Carolina,Reinprecht,klementmathias@example.com,05243/32782361,Sonja-Wimmer-Platz 12,Eggenburg,Niue,9726,24,Other,2021-06-14,"5360,9522"
41,Alice,Maréchal,thibaultlacombe@example.com,05 31 86 32 43,"40, rue Gilles",Sainte Claire,Bosnie-Herzégovine,05977,45,Male,2024-04-01,"2176,1025"
42,Nadine,Trattner,sascharaab@example.net,+43 (0) 5226 72000672,Rathweg 7,Straßburg,Mauritius,7589,67,Male,2013-04-09,"9837,6295"
43,Graciana,Águila,armengolseveriano@example.org,+34 849466059,Avenida Noa Sanmiguel 184 Apt. 35 ,Almería,Irán,29175,26,Male,2018-10-23,"3993,6301,6222"
44,Katja,Kunz,sophie-marie90@example.com,+43 (0) 2904 54660477,Jeneweinstr. 4/0,Ebreichsdorf,Burkina Faso,9976,76,Other,2023-11-03,6640
45,Vincentio,Fogazzaro,gozzanoalderano@example.com,+39 0350201059,"Piazza Donatoni, 45 Piano 1",Pavona,Arabia Saudita,98074,53,Other,2021-10-28,"7039,8212"
46,Andrea,Schoch,buhlmannannemarie@example.net,+41 31 880 91 72,Bauerstrasse 57,Münchenbuchsee,Zypern,8768,65,Female,2014-12-17,"3198,3574,3541"
47,Rebecca,Grünberger,mariusfrick@example.net,05401 95546 029,Amonstraße 59,Gföhl,Cookinseln,2924,47,Other,2010-12-22,
48,Robin,Burgstaller,steinerzara@example.net,04860 34982 457,Stelzlgasse 9/1,Purkersdorf,Mauritius,9805,60,Female,2022-06-09,8109
49,Ayse,Zahn,lbachmann@example.com,(08239) 71398,Nils-Roskoth-Ring 51,Güstrow,Seychellen,13681,55,Other,2022-09-30,"4349,2303,5767"
50,Orhan,Hamann,nikogumprich@example.org,(09220) 76024,Veli-Freudenberger-Gasse 4702,Pasewalk,Heard- und McDonald-Inseln,17757,30,Female,2011-11-07,6382
51,Elmo,Chiappetta,qfarinelli@example.net,391610377,"Piazza Cavalcanti, 321 Appartamento 5",Cornacchiaia,Trinidad e Tobago,35038,29,Female,2012-09-10,5661
52,Anne,Bühlmann,gschurch@example.com,+41 81 272 73 79,Stutzstrasse 58,Volketswil,Osttimor,2500,21,Other,2019-09-03,"1542,2334,4569"
53,Margaret,James,ekaur@example.org,(01632) 960568,Studio 14A\nThomas Expressway,Millerport,Slovakia (Slovak Republic),W6W 1TA,50,Male,2023-06-06,
54,Alejandra,Ferreras,alejandro71@example.org,+34 854 26 54 41,Cañada de Tere Arregui 622,Ciudad,Grecia,07357,43,Male,2014-12-30,"4291,4025"
55,Kalina,Jachimczak,stanislawtatarczyk@example.net,22 590 74 04,ul. Kazimierza Wielkiego 298,Lublin,Jordan,99-516,28,Other,2024-04-25,8876
56,Jacob,Johann,madeleine90@example.com,03309582655,Dehmelweg 98-10,Parsberg,Äquatorialguinea,49998,23,Male,2023-02-20,"8978,6786,4893"
57,Jasmin,Studer,rschafer@example.net,+41 32 404 36 79,Lüscherstrasse 17,Bulle,Philippinen,3248,53,Other,2010-11-18,"8810,1488,1104"
58,Maurizio,Bragaglia,fopizzi@example.com,39151018072,"Borgo Fedele, 0 Appartamento 67",Rionero In Vulture,Gambia,42015,27,Female,2013-04-22,5242
59,Salih,Söding,freddy61@example.net,+49(0)8933842903,Linkestr. 3,Viechtach,Wallis und Futuna,82390,25,Other,2014-12-24,5635
60,Odette,Leduc,margaret93@example.com,+33 (0)1 43 82 75 98,"881, rue Lemonnier",Leduc,Yougoslavie,71396,78,Other,2012-08-09,"7527,6000,9011"
61,Hans,Pergande,raymund44@example.net,+49(0)9805330019,Jolanta-Holt-Ring 13/21,Güstrow,Ghana,78144,46,Other,2014-05-30,"6382,9916,9082"
62,Ronaldo,Marrone,federigointerminei@example.com,+39 093201534,"Strada Cavalcanti, 1 Appartamento 0",Paterno,Repubblica Dominicana,67060,51,Female,2012-04-05,8600
63,Apolonia,Toborek,jedrzej12@example.com,734 087 539,ul. Gałczyńskiego 97,Kościerzyna,Morocco,07-843,24,Male,2023-09-14,8777
64,Nick,Maurer,fatonluthi@example.net,+41 55 314 60 88,Itenstrasse 33,Zürich,Algerien,2056,73,Other,2013-01-30,"3353,5541"
65,Maryam,Fabian,matildaseebacher@example.net,0512/11225690,Kissstr. 25,Waidhofen an der Thaya,Seychellen,5216,68,Other,2026-01-11,8685
66,Stanisław,Kretek,olga71@example.com,788 094 019,pl. Kruczkowskiego 438,Zielona Góra,Suriname,90-261,73,Female,2023-04-02,"6937,8010,2547"
67,Jane,Holloway,janice84@example.com,+442074960818,Flat 1\nPearce Stravenue,Yvonnebury,Senegal,M3S 1HZ,74,Other,2010-07-29,
68,James,Lengauer,marissalettner@example.org,(07562) 02966 061,Paul-Pirker-Weg 5,Sankt Johann im Pongau,Bermuda,9917,46,Other,2021-07-17,
69,Jean,Erni,dominiquethommen@example.net,055 444 77 95,Leustrasse 12,Wallisellen,Demokratische Volksrepublik Korea,3968,34,Female,2014-04-20,"3183,5533"
70,Ricciotti,Badoer,czetticci@example.net,+39 053507723,"Strada Lanfranchi, 13",Toirano,Singapore,02035,58,Female,2026-03-28,
71,Kamila,Kycia,sglapiak@example.org,+48 732 211 959,aleja Bolesława Chrobrego 541,Ostrów Wielkopolski,Croatia,69-019,79,Female,2021-12-29,"3288,8596,3890"
72,Leonhard,Schöller,santnerronya@example.net,+43 799149979716,Riegerstraße 412,Freistadt,Niue,3414,45,Female,2010-09-14,
73,Kornelia,Brojek,pachnikmieszko@example.net,516 055 938,aleja Piłsudskiego 165,Zgorzelec,Romania,33-415,72,Other,2013-07-29,
