customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
20260424000000,Ina,Scheiber,norah18@example.net,+43 7634 39378 542,Aleksandra-Schrempf-Weg 959,Marchegg,Turkmenistan,5195,72,Female,2021-11-26,1531
20260424000001,Marko,Keudel,ernst11@example.com,(04898) 927832,Agnieszka-Hethur-Straße 8/2,Viechtach,Sonderverwaltungszone Macao,48625,27,Male,2012-10-23,"4050,4303,9414"
20260424000002,Eleni,Lustenberger,ohodel@example.org,091 536 62 71,Meisterstrasse 2,Affoltern,Libanon,9042,54,Male,2021-04-13,"8433,9035,8781"
20260424000003,Vincentio,Iannuzzi,daria19@example.com,012541040,"Stretto Rossana, 98",Varese Ligure,Burundi,23879,60,Other,2012-04-02,"5511,1937,8656"
20260424000004,Jayne,Bennett,kathrynbrown@example.org,+44191 496 0935,Flat 9\nDouglas Mission,Huntfurt,Solomon Islands,S26 5WS,32,Female,2013-06-23,"3525,6735"
20260424000005,Maksymilian,Kloch,hsupernak@example.com,+48 509 692 758,al. Paderewskiego 71/14,Jawor,Bahrain,26-003,48,Other,2022-01-16,
20260424000006,Claude,Bourgeois,xlaunay@example.org,0361631897,"92, avenue Cécile Texier",Joly-sur-Mer,Bulgarie,69124,27,Female,2017-09-03,"2035,4629,5588"
20260424000007,Christophe,Mary,lucpruvost@example.net,+33 1 77 33 00 23,"7, avenue de Alves",Saint Jeanne,Trinité et Tobago,59805,40,Male,2018-11-08,
20260424000008,Ross,Bates,valeriedavison@example.com,0141 4960567,Studio 9\nLucy Gateway,Lake Louise,Equatorial Guinea,E0W 0WG,24,Other,2023-01-24,"5019,6150"
20260424000009,Nedda,Gregori,iannuccivincenza@example.com,+39 3379617044,"Contrada Fo, 2 Piano 8",Montevaccino,Uzbekistan,73050,36,Male,2016-10-07,
20260424000010,Jolanta,Schweitzer,biggengebhard@example.net,+49(0)8725417047,Ewa-Fischer-Platz 3-6,Lübeck,Slowenien,49480,49,Other,2024-10-23,
20260424000011,Simonetta,Vercelloni,annunziata95@example.org,092382835,"Strada Tiziano, 260",Bigarello,Iran,00050,70,Male,2010-01-31,
20260424000012,Philipp,Walser,monahammerl@example.org,+43 (0) 5253 65352589,Marcus-Kammerer-Weg 2/0,Kufstein,Albanien,7264,79,Other,2021-10-22,"8915,8683,3151"
20260424000013,Amy,Gill,lmoore@example.net,(0191) 496 0665,Studio 2\nCoates Rue,Stanleyport,Argentina,W1 0PL,72,Other,2022-02-12,6635
20260424000014,Osvaldo,Cazorla,nieves52@example.net,+34971 04 60 54,Urbanización de Delia Ferrán 102 Puerta 9 ,Castellón,Suiza,06377,75,Female,2014-09-14,"4114,8141,6022"
20260424000015,Patrick,Haderer,reinischkarla@example.org,0512/18996693,Unterwegerstr. 28,Altheim,St. Vincent und die Grenadinen,9026,79,Female,2021-04-20,"1097,8144"
20260424000016,Glen,Martin,gavinward@example.net,+44191 496 0496,Flat 86\nJeffrey Pass,South Chloechester,Zambia,UB0B 9ER,33,Other,2019-08-08,
20260424000017,Konrad,Rząd,symonowiczaleks@example.net,+48 570 857 198,ul. Kopernika 92/17,Lublin,Romania,94-631,74,Other,2018-07-09,
20260424000018,Rosalina,Montoya,roperovasco@example.com,+34821 869 798,Plaza de Bernarda Malo 12 Piso 8 ,Cáceres,Uzbekistán,48679,66,Female,2012-07-18,"1186,9139,3768"
20260424000019,Pastor,Quintana,dafne82@example.net,+34 845 18 87 39,Via de Fortunata Sarabia 83 Apt. 96 ,Córdoba,Venezuela,47064,22,Male,2018-11-16,"9578,9401,2057"
20260424000020,Mathilde,Pinto,bmeyer@example.net,06 36 18 88 17,"4, rue Becker",Joseph,Antarctique,75595,54,Other,2022-11-26,"8896,2289,6006"
20260424000021,Silvia,Ungaretti,piermaria57@example.org,077415275,"Via Mirko, 530",Motta San Damiano,Nigeria,08021,23,Male,2010-02-04,
20260424000022,Guntram,Junck,klaus-peter14@example.org,(00787) 556598,Dobesallee 33-24,Chemnitz,Kambodscha,23837,40,Other,2012-07-07,"4170,9753"
20260424000023,Goffredo,Albertini,antonia22@example.com,+39 0490731370,"Vicolo Donna, 890 Piano 9",Karneid,Bangladesh,20825,42,Female,2022-03-31,"9129,1976"
20260424000024,Mateusz,Kusyk,grzegorz23@example.net,+48 32 341 61 09,plac Niepodległości 77,Tarnowskie Góry,Malawi,49-399,42,Female,2024-10-19,6241
20260424000025,Timea,Merz,afrim29@example.com,+41 43 496 46 01,Sigriststrasse 40,Delsberg,Kasachstan,5707,18,Other,2011-09-01,"9147,5430"
20260424000026,Eutropio,Bello,fidela01@example.net,+34 980775105,Callejón de Bernardo Arnau 35 Apt. 87 ,León,Palau,07133,32,Female,2018-09-13,
20260424000027,Zeljko,Nette,vadim59@example.com,+49(0)0083774600,Henschelgasse 8/5,Neubrandenburg,Äquatorialguinea,31462,31,Female,2024-12-25,
20260424000028,Luke,Mitchell,jacob08@example.org,0131 4960978,Flat 86\nDenise Ville,Patriciastad,Netherlands Antilles,G54 6SR,46,Other,2019-11-24,"4458,2925,8965"
20260424000029,Patrik,Kahr,friedlsamuel@example.org,03149 89774 028,Stella-Schwaiger-Platz 1,Bad Hall,Serbien und Montenegro,6187,18,Male,2019-02-10,"3808,4471,1125"
20260424000030,Susan,Mary,costehortense@example.net,+33 2 30 10 44 03,"7, boulevard Blondel",Pasquier,Bulgarie,97223,48,Male,2015-05-05,"8910,4376"
20260424000031,Dominic,Roberts,tbriggs@example.org,(0113)4960676,Studio 79o\nKeith Manors,Port Mohammedmouth,Oman,PO2X 8LX,50,Male,2011-06-28,1758
20260424000032,Sam,Owen,duncandanielle@example.org,(0306) 9990106,3 Parker Shore,New Bethan,Azerbaijan,DL12 1UX,74,Female,2020-03-10,"3501,6111"
20260424000033,Karl-Otto,Köster,margrafleopoldine@example.org,+49(0)4295 359048,Emmy-Schmidt-Weg 7/6,Höxter,Liechtenstein,58391,20,Other,2017-04-02,"4690,1862"
20260424000034,Rahel,Römer,winfriedtrubin@example.net,+49(0) 893835771,Thanelring 746,Sigmaringen,Syrien,42430,76,Female,2019-01-08,"9034,5642"
20260424000035,Aloisia,Fliegner,mweitzel@example.org,(06582) 420254,Emanuel-Fiebig-Platz 36-30,Hettstedt,Liberia,83872,64,Female,2016-11-01,"6826,5009"
20260424000036,Marcelle,Normand,ljoseph@example.org,+33 3 80 47 24 68,"703, avenue Dupuy",Briand,Macau,61833,79,Female,2020-03-22,
20260424000037,Frederick,Butler,adavison@example.org,+441214960046,1 Cooper Drives,Martinmouth,Liberia,E70 9DR,80,Male,2021-03-11,"8424,2624,6354"
20260424000038,Frank,Meier,rkaser@example.com,+41 52 621 13 79,Baderstrasse 49,Lugano,Norwegen,3064,55,Female,2016-09-25,"9916,4958,7320"
20260424000039,Leandro,Walder,irmgard94@example.com,+41 62 557 35 47,Flückigerstrasse 50,Thun,Amerikanisch-Ozeanien,4186,65,Male,2026-02-17,7597
20260424000040,Margret,Hethur,dieter25@example.org,(06347) 857340,Anna-Luise-Hendriks-Ring 32,Wesel,Österreich,40332,72,Male,2014-08-20,"2223,1560,5659"
20260424000041,Sergius,Dulbecco,matteo43@example.net,+39 0835545018,"Stretto Castellitto, 74",Locri,Barbados,13891,77,Male,2011-04-02,"5556,5986"
20260424000042,Anka,Franke,harloffmatthias@example.org,02404 47403,Andersgasse 8/2,Lüdenscheid,Angola,25989,30,Other,2025-01-29,"5110,3807"
20260424000043,Dagmara,Elias,sieczkomichal@example.com,538 731 335,plac Wróblewskiego 362,Ruda Śląska,Belgium,82-849,25,Female,2014-09-26,
20260424000044,Miodrag,Rudolph,claudio59@example.com,+49(0)0185362068,Cynthia-Tlustek-Platz 2666,Grafenau,Nördliche Marianen,50667,19,Female,2013-12-20,
20260424000045,Rico,Torres,jovitaarenas@example.org,+34927 934 647,Pasadizo de Paz Niño 12,Tarragona,Swazilandia,07012,72,Female,2021-08-06,"9099,8841,9260"
20260424000046,Santino,Bova,santeleoncavallo@example.com,092593004,"Via Gastone, 7",Bersone,Canada,25088,80,Other,2017-05-27,
20260424000047,Kristian,Holt,mehmet62@example.org,+49(0)1614 81769,Hans-Herbert-Zahn-Straße 5,Nauen,Kroatien,65303,52,Male,2010-09-17,7476
