customer_id,first_name,last_name,email,phone_number,address,city,country,postal_code,age,gender,registration_date,related_accounts
1,Tristán,Malo,vrosales@example.com,+34 947355809,Via de Luisa Montserrat 599,La Coruña,Senegal,40698,61,Female,2019-01-30,"5416,2051,4487"
2,Milan,Reischl,mheissenberger@example.org,04369/48844642,Plattnerring 11,Purkersdorf,Nigeria,3339,50,Male,2019-01-03,"7092,3660,6373"
3,Maurice,Gilbert,stephane06@example.net,+33 6 59 01 26 25,"76, boulevard Nicolas Maury",Sainte Marine,Pakistan,79630,24,Other,2018-07-22,"4474,8407"
4,Naomi,Wright,kempsylvia@example.org,+441154960098,Studio 07O\nMark brooks,New Reece,Congo,S4J 8UF,33,Female,2013-12-04,9520
5,Rosemary,Lane,wardwilliam@example.net,+44161 4960736,8 Jamie canyon,West Rachaelstad,Vietnam,DL4 0AZ,26,Female,2011-06-10,
6,Margita,Löwer,roerrichtmoritz@example.com,(05522) 348850,Andy-Adolph-Gasse 56,Niesky,St. Lucia,49284,65,Other,2012-10-14,"5613,5574,4727"
7,Pascual,Martorell,ubriones@example.com,+34975 323 798,Camino Nydia Soria 205 Puerta 8 ,Valladolid,Argentina,22072,27,Other,2012-08-07,
8,Marek,Stochel,konstantyslyk@example.com,+48 574 005 114,aleja Wojska Polskiego 09/38,Grodzisk Mazowiecki,Antigua and Barbuda,70-984,35,Male,2020-08-24,"3732,2216,4827"
9,Sonia,Manrique,americo40@example.org,+34 800 18 84 13,Callejón de Emilia Fuentes 96,Girona,Malta,20658,44,Other,2014-11-23,8142
10,Liliane,Bartl,claudiagattringer@example.com,02197/31117340,Scharfstr. 1/2,Attnang-Puchheim,Jamaika,6672,70,Other,2025-05-18,"4495,1615,2127"
11,Uberto,Sobrero,ottonesoprano@example.net,3730753836,"Contrada Ignazio, 49",Castelbasso,Senegal,67040,56,Female,2010-08-29,
12,Adrian,Sanders,bullpatrick@example.org,+44(0)1632 960 788,Flat 3\nJohn squares,Lesliemouth,Saint Vincent and the Grenadines,G9D 8PZ,26,Male,2022-06-20,
13,Romeo,Schmidt,maurergabriele@example.net,+41 55 602 13 41,Toblerstrasse 76,Meyrin,Réunion,1033,61,Female,2013-05-04,
